最后更新时间 2010年6月3日9:06:15

比较特别的淘宝团购 http://ju.taobao.com 
一起买 http://www.17buy.com 
拉手 http://www.lashou.com 推荐 
饭桶网饭团 http://tuan.fantong.com 
F团 http://www.ftuan.com 
24券 http://www.24quan.com 
爱帮团购 http://tuan.aibang.com 
团老大 http://www.tuanlaoda.com 
满座网 http://www.manzuo.com 
酷团网 http://www.cooltuan.com 
团宝网 http://www.groupon.cn 推荐 
5151团 http://www.5151tuan.com 
团乐乐 http://www.tuanlele.com 
27团 http://www.27tuan.com 
团美网 http://www.tuanmei.net 
鲜果团 http://www.xgtuan.com 
猛买网 http://www.mengmai.com 
快乐团购网 http://www.kltuan.com 
自由团 http://www.007005.com 
新团 http://www.361tuan.com 
寻常百姓 http://xcbxj.cn 
优卡优享团 http://tuan.yoka.com 
团多多 http://www.tuandodo.com 
大洋团 http://www.dytuan.com 
1288团购网 http://www.1288.me
篱笆网 http://home.liba.com/
中国团购在线 http://www.teambuy.com.cn/cindex.php
合力团购网 http://www.hltgw.com/

南昌的
江南都市报团购 http://tuan.jnds.com.cn
